,index,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
0,0,37,1.0,0.0,8.0,2.0,1.0,1,4.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
1,1,44,0.0,0.0,11.0,2.0,1.0,0,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,2,32,0.0,2.0,45.0,2.0,1.0,0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
3,3,31,0.0,1.0,45.0,2.0,0.0,1,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0
4,4,31,0.0,0.0,3.0,2.0,1.0,0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0
5,5,33,0.0,0.0,4.0,2.0,0.0,0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
6,6,35,1.0,0.0,10.0,2.0,0.0,1,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,7,39,0.0,2.0,45.0,2.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,42,1.0,0.0,8.0,2.0,0.0,1,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
9,9,23,0.0,2.0,45.0,2.0,1.0,0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0
10,10,31,0.0,0.0,9.0,2.0,1.0,1,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11,11,29,0.0,19.0,45.0,2.0,1.0,0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0
12,12,42,1.0,0.0,0.0,2.0,0.0,1,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0
13,13,36,0.0,0.0,30.0,2.0,0.0,0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
14,14,27,0.0,2.0,45.0,2.0,1.0,0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
15,15,29,1.0,0.0,8.0,2.0,0.0,1,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
16,16,23,0.0,1.0,45.0,2.0,1.0,1,3.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
